meet,date,event,distance_m,stroke,entry_time_sec,finals_time_sec,change_sec,place,seed,notes
CAT May The Splash Be With You,2026-05-09,100m Free,100,Free,125.99,105.34,-20.65,24,25,Split: 50.67 + 54.67
CAT May The Splash Be With You,2026-05-09,50m Back,50,Back,65.99,51.57,-14.42,34,37,
CAT May The Splash Be With You,2026-05-09,50m Breast,50,Breast,65.99,58.29,-7.70,22,24,
HACY Summer Solstice,2026-05-30,100m Breast,100,Breast,114.44,120.73,+6.29,27,18,Split: 58.18 + 62.55
HACY Summer Solstice,2026-05-30,50m Back,50,Back,44.33,55.27,+10.94,50,18,
HACY Summer Solstice,2026-05-30,50m Free,50,Free,39.33,45.26,+5.93,55,39,
HACY Summer Solstice,2026-05-31,50m Fly,50,Fly,45.55,63.61,+18.06,36,18,
HACY Summer Solstice,2026-05-31,100m Back,100,Back,95.55,,,,12,DQ
HACY Summer Solstice,2026-05-31,100m Free,100,Free,85.55,103.94,+18.39,49,29,Split: 50.92 + 53.02
Big CAT LC Challenge,2026-06-13,50m Free,50,Free,48.99,45.03,-3.96,32,30,
Big CAT LC Challenge,2026-06-13,50m Breast,50,Breast,58.29,55.99,-2.30,15,14,
Big CAT LC Challenge,2026-06-13,100m Back,100,Back,122.00,119.53,-2.47,24,21,Split: 57.10 + 62.43
Big CAT LC Challenge,2026-06-14,50m Back,50,Back,51.57,52.53,+0.96,15,13,
Big CAT LC Challenge,2026-06-14,100m Breast,100,Breast,130.99,123.77,-7.22,19,18,Split: 59.32 + 64.45
Big CAT LC Challenge,2026-06-14,100m Free,100,Free,105.34,102.68,-2.66,19,18,
